generation,best_fitness,mean_fitness,accuracy,neuron_count,synapse_count
364,0.75,0,0.5,5,3
365,0.75,0,0.5,5,3
366,0.75,0,0.5,5,3
367,0.75,0,0.5,5,3
368,0.75,0,0.5,5,3
369,0.75,0,0.5,5,3
370,0.75,0,0.5,5,3
371,0.75,0,0.5,5,3
372,0.75,0,0.5,5,3
373,0.75,0,0.5,5,3
374,0.75,0,0.5,5,3
375,0.75,0,0.5,5,3
376,0.75,0,0.5,5,3
377,0.75,0,0.5,5,3
378,0.75,0,0.5,5,3
379,0.75,0,0.5,5,3
380,0.75,0,0.5,5,3
381,0.75,0,0.5,5,3
382,0.75,0,0.5,5,3
383,0.75,0,0.5,5,3
384,0.75,0,0.5,5,3
385,0.75,0,0.5,5,3
386,0.75,0,0.5,5,3
387,0.75,0,0.5,5,3
388,0.75,0,0.5,5,3
389,0.75,0,0.5,5,3
390,0.75,0,0.5,5,3
391,0.75,0,0.5,5,3
392,0.75,0,0.5,5,3
393,0.75,0,0.5,5,3
394,0.75,0,0.5,5,3
395,0.75,0,0.5,5,3
396,0.75,0,0.5,5,3
397,0.75,0,0.5,5,3
398,0.75,0,0.5,5,3
399,0.75,0,0.5,5,3
400,0.75,0,0.5,5,3
401,0.75,0,0.5,5,3
402,0.75,0,0.5,5,3
403,0.75,0,0.5,5,3
404,0.75,0,0.5,5,3
405,0.75,0,0.5,5,3
406,0.75,0,0.5,5,3
407,0.75,0,0.5,5,3
408,0.75,0,0.5,5,3
409,0.75,0,0.5,5,3
410,0.75,0,0.5,5,3
411,0.75,0,0.5,5,3
412,0.75,0,0.5,5,3
413,0.75,0,0.5,5,3
414,0.75,0,0.5,5,3
415,0.75,0,0.5,5,3
416,0.75,0,0.5,5,3
417,0.75,0,0.5,5,3
418,0.75,0,0.5,5,3
419,0.75,0,0.5,5,3
420,0.75,0,0.5,5,3
421,0.75,0,0.5,5,3
422,0.75,0,0.5,5,3
423,0.75,0,0.5,5,3
424,0.75,0,0.5,5,3
425,0.75,0,0.5,5,3
426,0.75,0,0.5,5,3
427,0.75,0,0.5,5,3
428,0.75,0,0.5,5,3
429,0.75,0,0.5,5,3
430,0.75,0,0.5,5,3
431,0.75,0,0.5,5,3
432,0.75,0,0.5,5,3
433,0.75,0,0.5,5,3
434,0.75,0,0.5,5,3
435,0.75,0,0.5,5,3
436,0.75,0,0.5,5,3
437,0.75,0,0.5,5,3
438,0.75,0,0.5,5,3
439,0.75,0,0.5,5,3
440,0.75,0,0.5,5,3
441,0.75,0,0.5,5,3
442,0.75,0,0.5,5,3
443,0.75,0,0.5,5,3
444,0.75,0,0.5,5,3
445,0.75,0,0.5,5,3
446,0.75,0,0.5,5,3
447,0.75,0,0.5,5,3
448,0.75,0,0.5,5,3
449,0.75,0,0.5,5,3
450,0.75,0,0.5,5,3
451,0.75,0,0.5,5,3
452,0.75,0,0.5,5,3
453,0.75,0,0.5,5,3
454,0.75,0,0.5,5,3
455,0.75,0,0.5,5,3
456,0.75,0,0.5,5,3
457,0.75,0,0.5,5,3
458,0.75,0,0.5,5,3
459,0.75,0,0.5,5,3
460,0.75,0,0.5,5,3
461,0.75,0,0.5,5,3
462,0.75,0,0.5,5,3
463,0.75,0,0.5,5,3
464,0.75,0,0.5,5,3
465,0.75,0,0.5,5,3
466,0.75,0,0.5,5,3
467,0.75,0,0.5,5,3
468,0.75,0,0.5,5,3
469,0.75,0,0.5,5,3
470,0.75,0,0.5,5,3
471,0.75,0,0.5,5,3
472,0.75,0,0.5,5,3
473,0.75,0,0.5,5,3
474,0.75,0,0.5,5,3
475,0.75,0,0.5,5,3
476,0.75,0,0.5,5,3
477,0.75,0,0.5,5,3
478,0.75,0,0.5,5,3
479,0.75,0,0.5,5,3
480,0.75,0,0.5,5,3
481,0.75,0,0.5,5,3
482,0.75,0,0.5,5,3
483,0.75,0,0.5,5,3
484,0.75,0,0.5,5,3
485,0.75,0,0.5,5,3
486,0.75,0,0.5,5,3
487,0.75,0,0.5,5,3
488,0.75,0,0.5,5,3
489,0.75,0,0.5,5,3
490,0.75,0,0.5,5,3
491,0.75,0,0.5,5,3
492,0.75,0,0.5,5,3
493,0.75,0,0.5,5,3
494,0.75,0,0.5,5,3
495,0.75,0,0.5,5,3
496,0.75,0,0.5,5,3
497,0.75,0,0.5,5,3
498,0.75,0,0.5,5,3
499,0.75,0,0.5,5,3
500,0.75,0,0.5,5,3
501,0.75,0,0.5,5,3
502,0.75,0,0.5,5,3
503,0.75,0,0.5,5,3
504,0.75,0,0.5,5,3
505,0.75,0,0.5,5,3
506,0.75,0,0.5,5,3
507,0.75,0,0.5,5,3
508,0.75,0,0.5,5,3
509,0.75,0,0.5,5,3
510,0.75,0,0.5,5,3
511,0.75,0,0.5,5,3
512,0.75,0,0.5,5,3
513,0.75,0,0.5,5,3
514,0.75,0,0.5,5,3
515,0.75,0,0.5,5,3
516,0.75,0,0.5,5,3
517,0.75,0,0.5,5,3
518,0.75,0,0.5,5,3
519,0.75,0,0.5,5,3
520,0.75,0,0.5,5,3
521,0.75,0,0.5,5,3
522,0.75,0,0.5,5,3
523,0.75,0,0.5,5,3
524,0.75,0,0.5,5,3
525,0.75,0,0.5,5,3
526,0.75,0,0.5,5,3
527,0.75,0,0.5,5,3
528,0.75,0,0.5,5,3
529,0.75,0,0.5,5,3
530,0.75,0,0.5,5,3
531,0.75,0,0.5,5,3
532,0.75,0,0.5,5,3
533,0.75,0,0.5,5,3
534,0.75,0,0.5,5,3
535,0.75,0,0.5,5,3
536,0.75,0,0.5,5,3
537,0.75,0,0.5,5,3
538,0.75,0,0.5,5,3
539,0.75,0,0.5,5,3
540,0.75,0,0.5,5,3
541,0.75,0,0.5,5,3
542,0.75,0,0.5,5,3
543,0.75,0,0.5,5,3
544,0.75,0,0.5,5,3
545,0.75,0,0.5,5,3
546,0.75,0,0.5,5,3
547,0.75,0,0.5,5,3
548,0.75,0,0.5,5,3
549,0.75,0,0.5,5,3
550,0.75,0,0.5,5,3
551,0.75,0,0.5,5,3
552,0.75,0,0.5,5,3
553,0.75,0,0.5,5,3
554,0.75,0,0.5,5,3
555,0.75,0,0.5,5,3
556,0.75,0,0.5,5,3
557,0.75,0,0.5,5,3
558,0.75,0,0.5,5,3
559,0.75,0,0.5,5,3
560,0.75,0,0.5,5,3
561,0.75,0,0.5,5,3
562,0.75,0,0.5,5,3
563,0.75,0,0.5,5,3
564,0.75,0,0.5,5,3
565,0.75,0,0.5,5,3
566,0.75,0,0.5,5,3
567,0.75,0,0.5,5,3
568,0.75,0,0.5,5,3
569,0.75,0,0.5,5,3
570,0.75,0,0.5,5,3
571,0.75,0,0.5,5,3
572,0.75,0,0.5,5,3
573,0.75,0,0.5,5,3
574,0.75,0,0.5,5,3
575,0.75,0,0.5,5,3
576,0.75,0,0.5,5,3
577,0.75,0,0.5,5,3
578,0.75,0,0.5,5,3
579,0.75,0,0.5,5,3
580,0.75,0,0.5,5,3
581,0.75,0,0.5,5,3
582,0.75,0,0.5,5,3
583,0.75,0,0.5,5,3
584,0.75,0,0.5,5,3
585,0.75,0,0.5,5,3
586,0.75,0,0.5,5,3
587,0.75,0,0.5,5,3
588,0.75,0,0.5,5,3
589,0.75,0,0.5,5,3
590,0.75,0,0.5,5,3
591,0.75,0,0.5,5,3
592,0.75,0,0.5,5,3
593,0.75,0,0.5,5,3
594,0.75,0,0.5,5,3
595,0.75,0,0.5,5,3
596,0.75,0,0.5,5,3
597,0.75,0,0.5,5,3
598,0.75,0,0.5,5,3
599,0.75,0,0.5,5,3
600,0.75,0,0.5,5,3
601,0.75,0,0.5,5,3
602,0.75,0,0.5,5,3
603,0.75,0,0.5,5,3
604,0.75,0,0.5,5,3
605,0.75,0,0.5,5,3
606,0.75,0,0.5,5,3
607,0.75,0,0.5,5,3
608,0.75,0,0.5,5,3
609,0.75,0,0.5,5,3
610,0.75,0,0.5,5,3
611,0.75,0,0.5,5,3
612,0.75,0,0.5,5,3
613,0.75,0,0.5,5,3
614,0.75,0,0.5,5,3
615,0.75,0,0.5,5,3
616,0.75,0,0.5,5,3
617,0.75,0,0.5,5,3
618,0.75,0,0.5,5,3
619,0.75,0,0.5,5,3
620,0.75,0,0.5,5,3
621,0.75,0,0.5,5,3
622,0.75,0,0.5,5,3
623,0.75,0,0.5,5,3
624,0.75,0,0.5,5,3
625,0.75,0,0.5,5,3
626,0.75,0,0.5,5,3
627,0.75,0,0.5,5,3
628,0.75,0,0.5,5,3
629,0.75,0,0.5,5,3
630,0.75,0,0.5,5,3
631,0.75,0,0.5,5,3
632,0.75,0,0.5,5,3
633,0.75,0,0.5,5,3
634,0.75,0,0.5,5,3
635,0.75,0,0.5,5,3
636,0.75,0,0.5,5,3
637,0.75,0,0.5,5,3
638,0.75,0,0.5,5,3
639,0.75,0,0.5,5,3
640,0.75,0,0.5,5,3
641,0.75,0,0.5,5,3
642,0.75,0,0.5,5,3
643,0.75,0,0.5,5,3
644,0.75,0,0.5,5,3
645,0.75,0,0.5,5,3
646,0.75,0,0.5,5,3
647,0.75,0,0.5,5,3
648,0.75,0,0.5,5,3
649,0.75,0,0.5,5,3
650,0.75,0,0.5,5,3
651,0.75,0,0.5,5,3
652,0.75,0,0.5,5,3
653,0.75,0,0.5,5,3
654,0.75,0,0.5,5,3
655,0.75,0,0.5,5,3
656,0.75,0,0.5,5,3
657,0.75,0,0.5,5,3
658,0.75,0,0.5,5,3
659,0.75,0,0.5,5,3
660,0.75,0,0.5,5,3
661,0.75,0,0.5,5,3
662,0.75,0,0.5,5,3
663,0.75,0,0.5,5,3
664,0.75,0,0.5,5,3
665,0.75,0,0.5,5,3
666,0.75,0,0.5,5,3
667,0.75,0,0.5,5,3
668,0.75,0,0.5,5,3
669,0.75,0,0.5,5,3
670,0.75,0,0.5,5,3
671,0.75,0,0.5,5,3
672,0.75,0,0.5,5,3
673,0.75,0,0.5,5,3
674,0.75,0,0.5,5,3
675,0.75,0,0.5,5,3
676,0.75,0,0.5,5,3
677,0.75,0,0.5,5,3
678,0.75,0,0.5,5,3
679,0.75,0,0.5,5,3
680,0.75,0,0.5,5,3
681,0.75,0,0.5,5,3
682,0.75,0,0.5,5,3
683,0.75,0,0.5,5,3
684,0.75,0,0.5,5,3
685,0.75,0,0.5,5,3
686,0.75,0,0.5,5,3
687,0.75,0,0.5,5,3
688,0.75,0,0.5,5,3
689,0.75,0,0.5,5,3
690,0.75,0,0.5,5,3
691,0.75,0,0.5,5,3
692,0.75,0,0.5,5,3
693,0.75,0,0.5,5,3
694,0.75,0,0.5,5,3
695,0.75,0,0.5,5,3
696,0.75,0,0.5,5,3
697,0.75,0,0.5,5,3
